Datetime,Price,Daily Rets,Log Rets,SMA100,EMA20,VMA20,Position 1,Position 2,Position 1 Log,P1 Long-Short CumRet,Position 2 Log,P2 Long Only CumRet,Position 3,Position 4,Position 3 Log,P3 Long-Short CumRet,Position 4 Log,P4 Long Only CumRet,Buy & Hold CumRet
2016-07-15,664.327625,0.006418213354879576,0.0063977043309638975,540.91707062,659.0257775207488,610.0866117206615,1,1,0.0063977043309638975,0.8287171348679245,0.0063977043309638975,1.58073425670211,1,1,0.0063977043309638975,1.2636179529499636,0.0063977043309638975,1.95192712658564,3.015167281064849
2016-07-16,663.93692,-0.000588120959142735,-0.0005882939701116034,543.34051923,659.4935053759156,610.5994717995123,1,1,-0.0005882939701116034,0.828229748951708,-0.0005882939701116034,1.5798045937549086,1,1,-0.0005882939701116034,1.2628747927474846,-0.0005882939701116034,1.9507791573317756,3.0133939979915336
2016-07-17,680.075912,0.024308020105283434,0.024017282269866193,545.95810909,661.4537345782094,611.2611521823742,1,1,0.024017282269866193,0.84836237434102,0.024017282269866193,1.6182065155823222,1,1,0.024017282269866193,1.2935727786000462,0.024017282269866193,1.9981987363091644,3.086643639879852
2016-07-18,674.395682,-0.008352346995051385,-0.008387423294717318,548.51909771,662.6863009993323,611.8624334187326,1,1,-0.008387423294717318,0.8412765574129781,-0.008387423294717318,1.6046906932545255,1,1,-0.008387423294717318,1.2827684098898258,-0.008387423294717318,1.981509087098437,3.0608629211495066
2016-07-19,674.983244,0.0008712422331316194,0.0008708629219158689,551.06010527,663.8574384279673,613.0647345726615,1,1,0.0008708629219158689,0.8420095130795399,0.0008708629219158689,1.606088767557602,1,1,0.0008708629219158689,1.2838860119038489,0.0008708629219158689,1.9832354615004513,3.063529674196239
2016-07-20,666.661206,-0.012329251242864991,-0.012405887020286707,553.4930465900001,664.124463911018,613.5751771576837,1,1,-0.012405887020286707,0.8316281662438998,-0.012405887020286707,1.586286895624041,1,1,-0.012405887020286707,1.2680566586958864,-0.012405887020286707,1.958783653221853,3.0257586471531006
2016-07-21,665.25287,-0.0021125213036619073,-0.0021147558243274234,555.8860705699999,664.2319311575877,613.5751771576837,1,1,-0.0021147558243274234,0.8298713340259842,-0.0021147558243274234,1.5829358307633155,1,1,-0.0021147558243274234,1.265377861990141,-0.0021147558243274234,1.9546456810251571,3.01936666755125
2016-07-22,649.99798,-0.02293096458193411,-0.02319796882355254,558.14543816,662.876316761627,613.9220609942772,1,1,-0.02319796882355254,0.810841583857872,-0.02319796882355254,1.5466375852926075,1,1,-0.02319796882355254,1.2363615270540815,-0.02319796882355254,1.909823770143339,2.9501296774377597
2016-07-23,654.439246,0.006832738157124707,0.006809500791600472,560.44318752,662.0727862129006,613.9220609942772,1,1,0.006809500791600472,0.8163818520872811,0.006809500791600472,1.5572053549368796,1,1,0.006809500791600472,1.244809261635985,0.006809500791600472,1.922873095890981,2.9702871410532548
2016-07-24,661.298693,0.010481411440291133,0.01042686228441541,562.75686522,661.9990630497672,613.9220609942772,1,1,0.01042686228441541,0.8249386861713949,0.01042686228441541,1.5735270649589976,1,1,0.01042686228441541,1.2578566196718768,0.01042686228441541,1.9430275199564806,3.00141994267444
2016-07-25,654.11,-0.010870568891325427,-0.010930085236023094,564.9845864399999,661.2477237116941,613.9220609942772,1,1,-0.010930085236023094,0.8159711333522492,-0.010930085236023094,1.5564219305969957,1,1,-0.010930085236023094,1.244183002632324,-0.010930085236023094,1.9219057054430526,2.9687928004158
2016-07-26,650.995394,-0.0047615936157526795,-0.004772966117816894,567.21731186,660.2713113581995,614.2751403562365,1,1,-0.004772966117816894,0.8120858104130406,-0.004772966117816894,1.5490108818688477,1,1,-0.004772966117816894,1.2382587087901618,-0.004772966117816894,1.9127543715059363,2.9546566155708476
2016-07-27,655.431869,0.006814909968472005,0.006791793434834493,569.48635972,659.81041208599,614.2751403562365,1,1,0.006791793434834493,0.8176201020976791,0.006791793434834493,1.5595672515689674,1,1,0.006791793434834493,1.2466973304082432,0.006791793434834493,1.9257896203395506,2.974792334393713
2016-07-28,655.72737,0.0004508493010124681,0.0004507476990033392,571.67608259,659.4215509349433,614.2751403562365,1,1,0.0004507476990033392,0.8179887255492037,0.0004507476990033392,1.5602703813742191,1,1,0.0004507476990033392,1.2472594030282318,0.0004507476990033392,1.9266578612437777,2.976133517438332
2016-07-29,657.492979,0.0026925961623349703,0.002688977619349503,573.82975563,659.2378774173296,614.6867388195104,1,1,0.002688977619349503,0.8201912388524507,0.002688977619349503,1.5644715594153122,1,1,0.002688977619349503,1.2506177689102618,0.002688977619349503,1.9318455728070951,2.984147043125983
2016-07-30,654.991627,-0.003804378266980657,-0.0038116333204704592,575.86553079,658.8334726156792,614.6867388195104,1,1,-0.0038116333204704592,0.8170709211285925,-0.0038116333204704592,1.5585197178153631,1,1,-0.0038116333204704592,1.2458599458499198,-0.0038116333204704592,1.924496101494745,2.9727942189696397
2016-07-31,623.739888,-0.047713188553477615,-0.04888901703636716,577.62448626,655.491226461805,614.6867388195104,1,1,-0.04888901703636716,0.7780858622072203,-0.04888901703636716,1.484157772654926,1,1,-0.04888901703636716,1.1864159953423572,-0.04888901703636716,1.8326722561336937,2.8309527278692532
2016-08-01,607.093854,-0.026687461103978682,-0.027050036764059274,579.16639895,650.881952894014,614.6144256307532,1,1,-0.027050036764059274,0.7573207260240093,-0.027050036764059274,1.44454936982503,1,1,-0.027050036764059274,1.1547535646135199,-0.027050036764059274,1.783762886581785,2.75540178705704
2016-08-02,539.008491,-0.11214964959931861,-0.11895207451534338,579.93705247,640.2273374755365,613.8943691104603,1,1,-0.11895207451534338,0.6723874719661151,-0.11895207451534338,1.2825436641702364,1,1,-0.11895207451534338,1.0252483569685495,-0.11895207451534338,1.5837145038833687,2.4463844421332563
