Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,11/18/2015,335.033453,336.002956,337.422478,329.789848
BTC,11/19/2015,326.259347,335.03278,336.07865,324.917565
BTC,11/20/2015,322.032527,326.259323,326.78,311.794461
BTC,11/21/2015,327.083987,322.032606,328.403767,319.175729
BTC,11/22/2015,324.485901,327.084425,327.387956,320.889189
BTC,11/23/2015,323.2271,324.513463,325.791074,321.016168
BTC,11/24/2015,319.830436,323.2271,323.314937,316.971288
BTC,11/25/2015,329.066694,319.829804,330.301889,316.230093
BTC,11/26/2015,353.4172,329.066697,368.589613,328.816503
BTC,11/27/2015,358.325404,353.4172,364.51258,348.353274
BTC,11/28/2015,357.360357,358.324812,360.042265,351.51
BTC,11/29/2015,371.334771,357.360362,372.950382,355.301058
BTC,11/30/2015,377.106935,371.374557,382.690058,369.882547
BTC,12/1/2015,362.69454,377.106934,379.272064,354.977677
BTC,12/2/2015,359.260337,362.682733,362.683567,347.888094
BTC,12/3/2015,361.419012,359.260428,370.600814,356.457147
BTC,12/4/2015,363.521242,361.419011,364.418639,355.310517
BTC,12/5/2015,389.085842,363.521527,391.214691,363.521527
BTC,12/6/2015,387.673972,389.085905,402.732039,385.833184
BTC,12/7/2015,395.888359,387.688725,400.999473,383.607969
BTC,12/8/2015,417.537283,395.895561,417.7,389.203898
BTC,12/9/2015,418.410117,417.517511,425.131891,405.331137
BTC,12/10/2015,415.317683,418.410126,420.3196,411.297354
BTC,12/11/2015,452.992626,415.317812,453.969526,415.28692
BTC,12/12/2015,435.766619,453.001611,470.572161,405.521533
BTC,12/13/2015,433.131342,435.766617,442.364807,421.313943
BTC,12/14/2015,444.038826,433.131343,447.790767,428.714698
BTC,12/15/2015,465.255061,444.038819,465.615564,443.848555
BTC,12/16/2015,455.283947,465.255077,465.922846,440.186881
BTC,12/17/2015,455.838271,455.284013,458.457201,448.788274
BTC,12/18/2015,463.351172,455.838211,466.131576,453.979269
BTC,12/19/2015,461.964752,463.351172,465.814445,452.812833
BTC,12/20/2015,442.466005,461.972421,462.387826,432.166336
BTC,12/21/2015,437.650939,442.466005,445.262699,425.166214
BTC,12/22/2015,435.132449,437.65402,443.535796,433.743542
BTC,12/23/2015,442.442327,435.132416,445.113653,434.858448
BTC,12/24/2015,456.046709,442.441333,459.112856,442.439345
BTC,12/25/2015,455.543515,456.04671,458.913595,450.200966
BTC,12/26/2015,416.919738,455.543515,457.932329,407.163035
BTC,12/27/2015,422.237832,416.919737,424.431217,408.73715
BTC,12/28/2015,421.523293,422.237832,429.007418,417.451648
BTC,12/29/2015,432.297443,421.524843,432.710037,419.220953
BTC,12/30/2015,426.323325,432.29793,433.946262,420.624297
BTC,12/31/2015,430.268091,426.32306,432.699675,417.447094
BTC,1/1/2016,434.08669,430.268343,436.085537,427.1521
BTC,1/2/2016,433.170319,434.087378,435.97796,431.411596
BTC,1/3/2016,430.341158,433.17025,433.877777,423.845569
BTC,1/4/2016,433.799642,430.340449,435.168612,429.192651
BTC,1/5/2016,431.923309,433.800342,434.770429,429.142138
BTC,1/6/2016,428.824986,431.923309,431.942279,425.775215
BTC,1/7/2016,459.08,428.851479,460.448888,428.641109
BTC,1/8/2016,453.355402,459.07,464.289835,447.367549
BTC,1/9/2016,448.841116,453.353656,455.511982,447.237905
BTC,1/10/2016,448.980776,448.841116,449.704314,441.099797
BTC,1/11/2016,448.87073,448.980765,451.544579,443.301159
BTC,1/12/2016,433.495184,448.870279,448.929501,431.005657
BTC,1/13/2016,431.943931,433.478567,435.77338,422.044696
BTC,1/14/2016,429.489608,431.94565,433.952006,426.937254
BTC,1/15/2016,358.751705,429.498105,429.604362,358.751705
BTC,1/16/2016,388.154719,358.74527,391.267903,353.630509
BTC,1/17/2016,380.235228,388.116395,390.651246,378.882497
BTC,1/18/2016,385.869421,380.23523,387.64709,374.867632
BTC,1/19/2016,378.778018,385.869292,386.490693,377.394645
BTC,1/20/2016,418.806847,378.778015,424.865939,374.914429
BTC,1/21/2016,409.927143,418.806847,422.787343,405.60605
BTC,1/22/2016,381.163769,409.927141,409.949613,374.5
